Petrol,бензин
Fake,хуурмаг
Call-off,үйл ажиллагаа цуцлах
Hideous,муухай аймшигтай
Above,дээр дээгүүр
Absolute,яг тодорхой
Access,нэвтрэх
Accommodation,хүмүүс амьдардаг орон байр
Accurate,нарийн тодорхой үнэн зөв
Acid,хүчил
Acquire,эзэмших олж авах
Moisturizer,чийгшүүлэгч
Spotless,өөгүй
Filthy,бохир
Decorate,чимэглэх
Decoration,чимэглэл
Wrinkle,үрчлээ зураас
Miserable,гунигтай өрөвдөлтэй
Adopt,үрчилж авах
Crown,хаан ширээ титэм
Advertise,зар сурталчилгаа
Desert,цөл
Aggressive,ууртай догшин
Direction,зүг чиг
Gear,хэрэглэл тоноглол
Botany,ургамал судлал
Disgusting,жигшмээр муухай
Aircraft,нисдэг тээврийн хэрэгсэл
Air force,агаарын хүчин
Airport,онгоцны буудал
Pore,арьсны нүх
Alliance,холбоотон
Mummify,занданшуулах
Fabulous,маш сайхан үлгэр жишээ
All right,ойлгомжтой
Adorable,маш үзэсгэлэнтэй
Aim/Ambition,зорилго хүсэл
Optimistic,өөдрөг үзэл
Pessimistic,гутранги
Press,дарах
Crumble,үйрүүлэх
Crumple,үрчийлгэх
Announce,мэдэгдэх
Rapid,маш хурдан
Layer,үе давхарга
Cognitive,сэтгэхүйн
Lecture,лекц
Wave,долгион
Curly,буржгар
Straight,шулуун
Plus,нэмэх
Out of date,хоцрогдсон
Up to date,хамгийн сүүлийн үеийн
Happen/Occur,тохиолдох
Rational,оновчтой
Flawless,төгс
Appreciate,үнэлэх ойлгох
Series,цуврал
Corner stone,тулгын чулуу
Evolve,хувьсах
Peak,оргил
Hallmark,шинж тэмдэг
Ingenious/Gifted,авьяастай
Pour,цутгах
Arrive,ирэх
Row,эгнээ
Coin,зоос
Ambassador,элчин сайд
Poverty,ядуурал
Cure,эмчилгээ
Care,санаа тавих
Lie,худал хэлэх
Liar,худалч
Perplexed,эргэлзсэн
Back,нуруу
Distill,нэрэх
Complete,бүрэн
Rage,уур хилэн
Thing,зүйл
Hole,нүх
Reserve,хадгалах урьдчилан захиалах
Wound,гэмтэл
Rite,зан үйл
Neck,хүзүү
Statue/Monument,хөшөө
Saga,үлгэр домог
Scissors,хайч
Contest,тэмцээн
Sibling,эгч дүүс
Peeler,ногоо арилгагч
Spatula,хусуур
Grater,үрэгч
Frying pan,хайруулын таваг
Sink,угаалтуур
Witness,гэрч
Taste,амт амтлах
Oven,шарах шүүгээ
Stove,зуух плитка
Kettle,ус буцалгагч
Freezer,хөлдөөгч
Fridge,хөргөгч

